day,hour,pearson,kendall,spearman,max_pearson_val,max_pearson_time,min_pearson_val,min_pearson_time,max_kendall_val,max_kendall_time,min_kendall_val,min_kendall_time,max_spearman_val,max_spearman_time,min_spearman_val,min_spearman_time
5,0,0.46,0.42,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,1,0.58,0.47,0.64,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,2,0.58,0.49,0.66,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,3,0.67,0.55,0.73,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,4,0.6,0.52,0.71,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,5,0.74,0.63,0.82,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,6,0.74,0.64,0.83,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,7,0.73,0.64,0.84,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,8,0.65,0.6,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,9,0.63,0.54,0.74,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,10,0.6,0.5,0.68,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,11,0.62,0.5,0.67,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,12,0.58,0.43,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,13,0.61,0.43,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,14,0.6,0.44,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,15,0.57,0.4,0.55,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,16,0.52,0.39,0.53,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,17,0.51,0.39,0.54,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
