day,hour,precinct,criminal,traffic
0,8,83,88,61
0,8,113,100,21464
0,8,120,103,91
0,8,70,83,367
0,8,69,54,10
0,8,66,51,55
0,8,114,108,6209
0,8,76,49,4256
0,8,63,53,33
0,8,45,78,17
0,8,106,67,74
0,8,10,26,54761
0,8,78,47,2199
0,8,6,35,63641
0,8,5,42,22663
0,8,94,68,1596
0,8,40,99,300
0,8,34,73,234
0,8,32,73,1536
0,8,50,58,58
0,8,25,97,4977
0,8,100,33,4
0,8,18,82,100813
0,8,20,54,51272
0,8,111,48,34
0,8,107,47,101
0,8,30,31,2226
0,8,49,71,24
0,8,88,49,960
0,8,26,33,6479
0,8,123,34,17
0,8,9,46,27798
0,8,104,76,61
0,8,33,47,1366
0,8,62,65,31
0,8,22,3,27780
0,9,44,135,77
0,9,103,101,81
0,9,28,53,2709
0,9,105,111,42
0,9,13,96,93202
0,9,71,91,128
0,9,7,60,5737
0,9,46,91,36
0,9,48,96,19
0,9,19,104,138274
0,9,41,94,8
0,9,14,127,158565
0,9,67,101,7
0,9,17,68,163721
0,9,61,80,45
0,9,102,70,231
0,9,110,67,375
0,9,108,71,4407
0,9,75,181,17
0,9,73,122,29
0,9,60,82,12
0,9,68,69,31
0,9,79,105,125
0,9,23,51,19507
0,9,42,60,7
0,9,115,124,51897
0,9,52,96,32
0,9,122,70,13
0,9,1,89,63418
0,9,72,54,143
0,9,109,123,68
0,9,24,80,33029
0,9,81,70,42
0,9,90,86,1204
0,9,112,40,423
0,9,43,147,35
0,9,84,72,6385
0,9,47,80,19
0,9,77,107,154
0,9,101,55,19
0,9,83,88,53
0,9,113,98,13943
0,9,120,105,84
0,9,70,76,257
0,9,69,69,22
0,9,66,57,88
0,9,114,120,3277
0,9,76,38,2762
0,9,63,54,3
0,9,45,88,6
0,9,106,55,27
0,9,10,54,61975
0,9,78,58,1472
0,9,6,63,72352
0,9,5,80,25128
0,9,94,39,1559
0,9,40,143,211
0,9,34,55,157
0,9,32,66,701
0,9,50,56,35
0,9,25,102,2316
0,9,100,30,4
0,9,18,119,108443
0,9,20,62,52815
0,9,111,41,65
0,9,107,73,99
0,9,30,35,1550
0,9,49,92,15
0,9,88,67,844
0,9,26,43,4477
0,9,123,42,9
0,9,9,61,34042
0,9,104,71,49
0,9,33,37,1096
0,9,62,62,22
0,9,22,2,23108
0,10,44,145,57
0,10,103,112,87
0,10,28,62,2111
0,10,105,102,29
0,10,13,105,83457
0,10,71,82,67
0,10,7,35,4646
0,10,46,130,23
0,10,48,85,2
0,10,19,92,128095
0,10,41,93,11
0,10,14,153,147098
0,10,67,127,21
0,10,17,48,158097
0,10,61,69,22
0,10,102,75,180
0,10,110,59,340
0,10,108,61,3824
0,10,75,206,26
0,10,73,103,26
0,10,60,94,1
0,10,68,108,24
0,10,79,114,122
0,10,23,66,17214
0,10,42,77,15
0,10,115,70,54373
0,10,52,104,19
0,10,122,62,5
0,10,1,88,54573
0,10,72,59,63
0,10,109,119,78
0,10,24,66,30859
0,10,81,74,49
0,10,90,89,916
0,10,112,48,251
0,10,43,142,25
0,10,84,100,3904
0,10,47,97,4
0,10,77,102,129
0,10,101,69,8
0,10,83,68,54
0,10,113,105,17345
0,10,120,89,117
0,10,70,69,94
0,10,69,57,11
0,10,66,58,74
0,10,114,114,2701
0,10,76,34,1493
0,10,63,56,10
0,10,45,94,18
0,10,106,50,53
0,10,10,30,49305
0,10,78,54,938
0,10,6,49,58163
0,10,5,65,24088
0,10,94,40,1417
0,10,40,130,195
0,10,34,63,115
0,10,32,76,436
0,10,50,51,20
0,10,25,118,1923
0,10,100,32,3
0,10,18,101,103603
0,10,20,68,53285
0,10,111,48,85
0,10,107,57,47
0,10,30,30,956
0,10,49,79,35
0,10,88,55,573
0,10,26,34,3553
0,10,9,68,31972
0,10,104,81,46
0,10,33,48,765
0,10,62,61,10
0,10,22,2,23975
0,10,123,10,1000
0,11,44,138,97
0,11,103,106,102
0,11,28,72,2225
0,11,105,132,21
0,11,13,96,80583
0,11,71,82,62
0,11,7,49,4239
0,11,46,111,29
0,11,48,109,4
0,11,19,91,127126
0,11,41,99,16
0,11,14,130,149100
0,11,67,102,3
0,11,17,37,174461
0,11,61,76,8
0,11,102,68,219
0,11,110,74,313
0,11,108,74,3914
0,11,75,190,13
0,11,73,123,32
0,11,60,83,16
0,11,68,69,17
0,11,79,85,106
0,11,23,72,17544
0,11,42,83,25
0,11,115,87,50521
0,11,52,136,19
0,11,122,82,2
0,11,1,95,61085
0,11,72,69,86
0,11,109,87,104
0,11,24,58,30101
0,11,81,62,58
0,11,90,110,1074
0,11,112,44,198
0,11,43,165,25
0,11,84,106,3922
0,11,47,102,2
0,11,77,97,100
0,11,101,48,16
0,11,83,75,27
0,11,113,108,20989
0,11,120,107,99
0,11,70,91,86
0,11,69,60,15
0,11,66,59,68
0,11,114,96,2583
0,11,76,26,1128
0,11,63,65,27
0,11,45,79,12
0,11,106,61,69
0,11,10,52,48430
0,11,78,64,864
0,11,6,57,53682
0,11,5,77,26936
0,11,94,42,1549
0,11,40,129,206
0,11,34,63,129
0,11,32,74,460
0,11,50,49,34
0,11,25,92,1984
0,11,100,39,2
0,11,18,120,103429
0,11,20,51,54940
0,11,111,28,57
0,11,107,51,53
0,11,30,52,856
0,11,49,69,31
0,11,88,62,417
0,11,26,33,4715
0,11,123,27,2
0,11,9,57,28021
0,11,104,74,74
0,11,33,53,784
0,11,62,83,9
0,11,22,7,27313
0,12,44,194,64
0,12,103,166,158
0,12,28,87,2341
0,12,105,162,23
0,12,13,156,87408
0,12,71,112,114
0,12,7,61,4055
0,12,46,138,25
0,12,48,107,16
0,12,19,166,130925
0,12,41,132,9
0,12,14,216,151170
0,12,67,144,17
0,12,17,80,188617
0,12,61,117,29
0,12,102,108,232
0,12,110,126,260
0,12,108,89,3844
0,12,75,243,27
0,12,73,166,13
0,12,60,104,12
0,12,68,87,39
0,12,79,109,114
0,12,23,98,17416
0,12,42,118,5
0,12,115,105,43610
0,12,52,165,22
0,12,122,109,15
0,12,1,131,66197
0,12,72,79,67
0,12,109,169,137
0,12,24,92,30568
0,12,81,106,62
0,12,90,137,1185
0,12,112,87,189
0,12,43,188,20
0,12,84,145,4211
0,12,47,124,13
0,12,77,108,121
0,12,101,68,6
0,12,83,95,46
0,12,113,138,21877
0,12,120,152,104
0,12,70,145,125
0,12,69,68,5
0,12,66,78,62
0,12,114,166,2550
0,12,76,53,857
0,12,63,82,21
0,12,45,100,4
0,12,106,109,69
0,12,10,99,52061
0,12,78,56,773
0,12,6,76,57796
0,12,5,74,30490
0,12,94,70,1624
0,12,40,195,304
0,12,34,90,173
0,12,32,75,572
0,12,50,78,34
0,12,25,128,2118
0,12,100,59,1
0,12,18,166,105248
0,12,20,113,57222
0,12,111,65,53
0,12,107,99,76
0,12,30,49,956
0,12,49,103,20
0,12,88,68,469
0,12,26,41,5264
0,12,123,67,6
0,12,9,92,28836
0,12,104,117,34
0,12,33,66,883
0,12,62,126,12
0,12,22,3,31580
0,13,44,172,87
0,13,103,143,169
0,13,28,86,2794
0,13,105,91,33
0,13,13,113,90018
0,13,71,104,84
0,13,7,40,3900
0,13,46,140,20
0,13,48,107,14
