day,hour,precinct,criminal,traffic,population,age
0,5,28,9,3441,50095.0,34.8
0,5,105,30,36,200852.0,40.1
0,5,13,21,14002,49348.0,34.2
0,5,71,24,158,111325.0,34.3
0,5,7,11,5563,72789.0,41.1
0,5,46,45,40,136982.0,29.9
0,5,48,39,18,130442.0,28.9
0,5,19,25,27689,221922.0,39.9
0,5,41,29,50,55492.0,30.3
0,5,14,26,25172,16368.0,33.2
0,5,67,47,14,138643.0,37.8
0,5,17,8,19433,97402.0,38.4
0,5,61,30,30,150931.0,39.9
0,5,102,27,118,154987.0,35.5
0,5,110,37,510,142289.0,35.8
0,5,108,37,3348,139088.0,37.1
0,5,75,63,22,185182.0,33.0
0,5,73,33,30,94149.0,32.3
0,5,60,25,14,109876.0,43.7
0,5,68,20,29,125011.0,39.4
0,5,79,18,92,75318.0,29.1
0,5,23,27,3496,59777.0,34.5
0,5,42,20,21,139743.0,29.4
0,5,115,52,1952,180562.0,35.0
0,5,52,45,17,131423.0,32.3
0,5,122,18,8,135323.0,41.4
0,5,1,7,9485,88716.0,34.0
0,5,72,38,72,151258.0,33.3
0,5,109,26,93,250162.0,42.8
0,5,24,17,8347,124447.0,43.4
0,5,81,28,139,67371.0,33.2
0,5,90,23,1234,124082.0,30.9
0,5,112,16,490,114637.0,42.1
0,5,43,46,28,189556.0,34.2
0,5,84,13,3538,66385.0,35.0
0,5,47,38,23,144341.0,35.6
0,5,77,22,304,127627.0,34.2
0,5,83,35,59,135837.0,30.4
0,5,113,33,14831,239699.0,35.9
0,5,120,27,87,172369.0,35.9
0,5,70,37,242,162030.0,34.3
0,5,69,16,6,88367.0,37.1
0,5,66,23,89,164842.0,27.9
0,5,114,41,4982,172468.0,35.1
0,5,76,9,793,42463.0,36.5
0,5,63,21,22,116657.0,38.6
0,5,45,14,3,122417.0,42.9
0,5,106,37,174,137073.0,38.7
0,5,10,14,8264,77205.0,37.1
0,5,78,10,981,73881.0,35.4
0,5,6,17,18716,66772.0,36.5
0,5,5,16,2731,44898.0,40.0
0,5,94,13,1400,33351.0,34.7
0,5,40,31,254,98324.0,28.7
0,5,34,38,117,126204.0,36.3
0,5,32,20,380,85872.0,33.7
0,5,50,32,33,58653.0,37.6
0,5,25,14,1723,61031.0,33.4
0,5,18,17,37601,58237.0,38.1
0,5,20,12,10479,85962.0,41.8
0,5,111,8,32,119917.0,43.8
0,5,107,13,73,93520.0,37.3
0,5,30,26,917,63956.0,34.1
0,5,49,16,3,129501.0,36.0
0,5,88,8,573,74233.0,34.1
0,5,26,10,1851,65925.0,30.4
0,5,123,7,4,165632.0,41.6
0,5,9,16,13257,43022.0,32.4
0,5,104,31,44,174240.0,37.3
0,5,33,28,465,92476.0,34.6
0,5,62,22,13,189076.0,38.4
0,5,22,2,1455,0.0,0.0
0,5,100,10,1000,28243.0,45.8
0,5,101,10,1000,93267.0,33.3
0,6,44,38,186,141055.0,31.5
0,6,103,34,182,68981.0,39.3
0,6,28,22,6057,50095.0,34.8
0,6,105,39,80,200852.0,40.1
0,6,13,22,36544,49348.0,34.2
0,6,71,35,177,111325.0,34.3
0,6,7,7,9278,72789.0,41.1
0,6,46,49,75,136982.0,29.9
0,6,48,43,19,130442.0,28.9
0,6,19,19,82343,221922.0,39.9
0,6,41,21,44,55492.0,30.3
0,6,14,41,79651,16368.0,33.2
0,6,67,41,14,138643.0,37.8
0,6,17,17,47967,97402.0,38.4
0,6,61,23,29,150931.0,39.9
0,6,102,24,241,154987.0,35.5
0,6,110,31,558,142289.0,35.8
0,6,108,36,5701,139088.0,37.1
0,6,75,69,28,185182.0,33.0
0,6,73,55,30,94149.0,32.3
0,6,60,19,9,109876.0,43.7
0,6,68,19,69,125011.0,39.4
0,6,79,29,100,75318.0,29.1
0,6,23,34,8434,59777.0,34.5
0,6,42,29,25,139743.0,29.4
0,6,115,47,3870,180562.0,35.0
0,6,52,50,24,131423.0,32.3
0,6,122,22,3,135323.0,41.4
0,6,1,11,26259,88716.0,34.0
0,6,72,22,160,151258.0,33.3
0,6,109,30,98,250162.0,42.8
0,6,24,19,16854,124447.0,43.4
0,6,81,40,140,67371.0,33.2
0,6,90,22,961,124082.0,30.9
0,6,112,5,851,114637.0,42.1
0,6,43,53,37,189556.0,34.2
0,6,84,15,8109,66385.0,35.0
0,6,47,46,16,144341.0,35.6
0,6,77,46,301,127627.0,34.2
0,6,83,28,46,135837.0,30.4
0,6,113,41,26170,239699.0,35.9
0,6,120,36,98,172369.0,35.9
0,6,70,32,347,162030.0,34.3
0,6,69,30,5,88367.0,37.1
0,6,66,18,68,164842.0,27.9
0,6,114,45,7638,172468.0,35.1
0,6,76,11,1732,42463.0,36.5
0,6,63,18,36,116657.0,38.6
0,6,45,23,1,122417.0,42.9
0,6,106,24,366,137073.0,38.7
0,6,10,8,23309,77205.0,37.1
0,6,78,22,1381,73881.0,35.4
0,6,6,19,39183,66772.0,36.5
0,6,5,8,5175,44898.0,40.0
0,6,94,20,1351,33351.0,34.7
0,6,40,34,345,98324.0,28.7
0,6,34,25,134,126204.0,36.3
0,6,32,36,641,85872.0,33.7
0,6,50,24,16,58653.0,37.6
0,6,25,25,3749,61031.0,33.4
0,6,100,17,6,28243.0,45.8
0,6,18,19,84604,58237.0,38.1
0,6,20,9,26362,85962.0,41.8
0,6,111,12,23,119917.0,43.8
0,6,107,29,107,93520.0,37.3
0,6,30,11,1319,63956.0,34.1
0,6,49,30,29,129501.0,36.0
0,6,88,13,954,74233.0,34.1
