day,hour,sum,lat,long
6,3,1,40.6093,-74.1694
6,4,2,40.6093,-74.1694
6,9,2,40.6093,-74.1694
6,10,1,40.6093,-74.1694
6,12,1,40.6093,-74.1694
6,13,2,40.6093,-74.1694
6,14,2,40.6093,-74.1694
6,15,1,40.6093,-74.1694
6,17,1,40.6093,-74.1694
6,18,3,40.6093,-74.1694
6,19,3,40.6093,-74.1694
6,20,1,40.6093,-74.1694
6,22,2,40.6093,-74.1694
6,23,1,40.6093,-74.1694
0,0,4,40.6093,-74.1594
0,1,2,40.6093,-74.1594
0,2,1,40.6093,-74.1594
0,3,1,40.6093,-74.1594
0,4,1,40.6093,-74.1594
0,6,4,40.6093,-74.1594
0,8,1,40.6093,-74.1594
0,9,2,40.6093,-74.1594
0,10,3,40.6093,-74.1594
0,11,1,40.6093,-74.1594
0,12,4,40.6093,-74.1594
0,13,6,40.6093,-74.1594
0,14,8,40.6093,-74.1594
0,15,4,40.6093,-74.1594
0,16,2,40.6093,-74.1594
0,17,2,40.6093,-74.1594
0,18,2,40.6093,-74.1594
0,21,3,40.6093,-74.1594
0,22,3,40.6093,-74.1594
0,23,3,40.6093,-74.1594
1,0,6,40.6093,-74.1594
1,1,2,40.6093,-74.1594
1,3,1,40.6093,-74.1594
1,4,1,40.6093,-74.1594
1,5,1,40.6093,-74.1594
1,6,1,40.6093,-74.1594
1,7,4,40.6093,-74.1594
1,8,1,40.6093,-74.1594
1,9,4,40.6093,-74.1594
1,10,3,40.6093,-74.1594
1,11,2,40.6093,-74.1594
1,12,5,40.6093,-74.1594
1,13,3,40.6093,-74.1594
1,14,5,40.6093,-74.1594
1,15,7,40.6093,-74.1594
1,16,4,40.6093,-74.1594
1,17,6,40.6093,-74.1594
1,18,5,40.6093,-74.1594
1,19,4,40.6093,-74.1594
1,20,2,40.6093,-74.1594
1,21,1,40.6093,-74.1594
1,22,1,40.6093,-74.1594
1,23,3,40.6093,-74.1594
2,0,2,40.6093,-74.1594
2,1,1,40.6093,-74.1594
2,2,2,40.6093,-74.1594
2,3,3,40.6093,-74.1594
2,4,1,40.6093,-74.1594
2,5,2,40.6093,-74.1594
2,6,1,40.6093,-74.1594
2,7,2,40.6093,-74.1594
2,8,1,40.6093,-74.1594
2,9,4,40.6093,-74.1594
2,10,1,40.6093,-74.1594
2,11,2,40.6093,-74.1594
2,12,4,40.6093,-74.1594
2,13,4,40.6093,-74.1594
2,14,6,40.6093,-74.1594
2,15,5,40.6093,-74.1594
2,16,1,40.6093,-74.1594
2,17,8,40.6093,-74.1594
2,18,1,40.6093,-74.1594
2,19,6,40.6093,-74.1594
2,20,4,40.6093,-74.1594
2,21,3,40.6093,-74.1594
2,22,2,40.6093,-74.1594
2,23,2,40.6093,-74.1594
3,0,1,40.6093,-74.1594
3,1,4,40.6093,-74.1594
3,2,2,40.6093,-74.1594
3,4,1,40.6093,-74.1594
3,5,1,40.6093,-74.1594
3,7,1,40.6093,-74.1594
3,8,4,40.6093,-74.1594
3,9,3,40.6093,-74.1594
3,10,2,40.6093,-74.1594
3,11,3,40.6093,-74.1594
3,12,3,40.6093,-74.1594
3,13,2,40.6093,-74.1594
3,14,3,40.6093,-74.1594
3,15,5,40.6093,-74.1594
3,16,4,40.6093,-74.1594
3,17,2,40.6093,-74.1594
3,18,2,40.6093,-74.1594
3,19,2,40.6093,-74.1594
3,20,3,40.6093,-74.1594
3,21,6,40.6093,-74.1594
3,22,1,40.6093,-74.1594
3,23,3,40.6093,-74.1594
4,0,4,40.6093,-74.1594
4,1,1,40.6093,-74.1594
4,3,1,40.6093,-74.1594
4,5,1,40.6093,-74.1594
4,7,1,40.6093,-74.1594
4,10,5,40.6093,-74.1594
4,11,2,40.6093,-74.1594
4,12,2,40.6093,-74.1594
4,13,3,40.6093,-74.1594
4,14,5,40.6093,-74.1594
4,15,1,40.6093,-74.1594
4,16,5,40.6093,-74.1594
4,17,9,40.6093,-74.1594
4,18,4,40.6093,-74.1594
4,19,4,40.6093,-74.1594
4,20,5,40.6093,-74.1594
4,21,3,40.6093,-74.1594
4,22,2,40.6093,-74.1594
4,23,2,40.6093,-74.1594
5,0,4,40.6093,-74.1594
5,1,6,40.6093,-74.1594
5,2,2,40.6093,-74.1594
5,3,2,40.6093,-74.1594
5,4,3,40.6093,-74.1594
5,5,2,40.6093,-74.1594
5,8,2,40.6093,-74.1594
5,9,1,40.6093,-74.1594
5,10,3,40.6093,-74.1594
5,11,2,40.6093,-74.1594
5,12,2,40.6093,-74.1594
5,13,2,40.6093,-74.1594
5,14,6,40.6093,-74.1594
5,15,2,40.6093,-74.1594
5,16,2,40.6093,-74.1594
5,17,2,40.6093,-74.1594
5,18,5,40.6093,-74.1594
5,19,5,40.6093,-74.1594
5,20,4,40.6093,-74.1594
5,21,2,40.6093,-74.1594
5,22,2,40.6093,-74.1594
5,23,5,40.6093,-74.1594
6,0,5,40.6093,-74.1594
6,1,3,40.6093,-74.1594
6,2,1,40.6093,-74.1594
6,3,3,40.6093,-74.1594
6,4,5,40.6093,-74.1594
6,5,2,40.6093,-74.1594
6,6,2,40.6093,-74.1594
6,7,1,40.6093,-74.1594
6,10,1,40.6093,-74.1594
6,11,5,40.6093,-74.1594
6,12,1,40.6093,-74.1594
6,13,3,40.6093,-74.1594
6,14,1,40.6093,-74.1594
6,15,5,40.6093,-74.1594
6,16,1,40.6093,-74.1594
6,17,6,40.6093,-74.1594
6,18,6,40.6093,-74.1594
6,19,1,40.6093,-74.1594
6,20,2,40.6093,-74.1594
6,21,1,40.6093,-74.1594
6,22,3,40.6093,-74.1594
6,23,2,40.6093,-74.1594
0,0,2,40.6093,-74.1494
0,3,1,40.6093,-74.1494
0,4,1,40.6093,-74.1494
0,5,1,40.6093,-74.1494
0,7,1,40.6093,-74.1494
0,8,1,40.6093,-74.1494
0,11,1,40.6093,-74.1494
0,12,1,40.6093,-74.1494
0,14,5,40.6093,-74.1494
0,15,2,40.6093,-74.1494
