,day,hour,precinct,sum
7584,4,2,47,92
7585,4,2,77,50
7586,4,2,101,25
7587,4,2,83,55
7588,4,2,113,54
7589,4,2,120,43
7590,4,2,70,62
7591,4,2,69,31
7592,4,2,66,32
7593,4,2,114,103
7594,4,2,76,23
7595,4,2,63,31
7596,4,2,45,36
7597,4,2,106,34
7598,4,2,10,42
7599,4,2,78,36
7600,4,2,6,88
7601,4,2,5,32
7602,4,2,94,36
7603,4,2,40,99
7604,4,2,34,48
7605,4,2,32,61
7606,4,2,50,27
7607,4,2,25,43
7608,4,2,100,15
7609,4,2,18,78
7610,4,2,20,22
7611,4,2,111,27
7612,4,2,107,42
7613,4,2,30,32
7614,4,2,49,40
7615,4,2,88,25
7616,4,2,26,23
7617,4,2,123,26
7618,4,2,9,109
7619,4,2,104,56
7620,4,2,33,38
7621,4,2,62,46
7622,4,2,22,1
7623,4,3,44,64
7624,4,3,103,32
7625,4,3,28,18
7626,4,3,105,42
7627,4,3,13,49
7628,4,3,71,27
7629,4,3,7,36
7630,4,3,46,46
7631,4,3,48,55
7632,4,3,19,28
7633,4,3,41,34
7634,4,3,14,65
7635,4,3,67,48
7636,4,3,17,10
7637,4,3,61,45
7638,4,3,102,38
7639,4,3,110,68
7640,4,3,108,52
7641,4,3,75,91
7642,4,3,73,41
7643,4,3,60,38
7644,4,3,68,43
7645,4,3,79,38
7646,4,3,121,43
7647,4,3,23,38
7648,4,3,42,26
7649,4,3,115,101
7650,4,3,52,47
7651,4,3,122,24
7652,4,3,1,40
7653,4,3,72,59
7654,4,3,109,62
7655,4,3,24,27
7656,4,3,81,31
7657,4,3,90,53
7658,4,3,112,18
7659,4,3,43,61
7660,4,3,84,19
7661,4,3,47,60
7662,4,3,77,27
7663,4,3,101,21
7664,4,3,83,46
7665,4,3,113,30
7666,4,3,120,49
7667,4,3,70,47
7668,4,3,69,20
7669,4,3,66,31
7670,4,3,114,95
7671,4,3,76,13
7672,4,3,63,31
7673,4,3,45,33
7674,4,3,106,46
7675,4,3,10,44
7676,4,3,78,16
7677,4,3,6,88
7678,4,3,5,36
7679,4,3,94,32
7680,4,3,40,71
7681,4,3,34,54
7682,4,3,32,35
7683,4,3,50,27
7684,4,3,25,33
7685,4,3,100,13
7686,4,3,18,62
7687,4,3,20,15
7688,4,3,111,18
7689,4,3,107,33
7690,4,3,30,28
7691,4,3,49,39
7692,4,3,88,16
7693,4,3,26,6
7694,4,3,123,33
7695,4,3,9,80
7696,4,3,104,43
7697,4,3,33,25
7698,4,3,62,45
7699,4,3,22,1
7700,4,4,44,50
7701,4,4,103,44
7702,4,4,28,20
7703,4,4,105,24
7704,4,4,13,45
7705,4,4,71,24
7706,4,4,7,37
7707,4,4,46,29
7708,4,4,48,32
7709,4,4,19,22
7710,4,4,41,36
7711,4,4,14,39
7712,4,4,67,52
7713,4,4,17,15
7714,4,4,61,26
7715,4,4,102,47
7716,4,4,110,73
7717,4,4,108,53
7718,4,4,75,63
7719,4,4,73,35
7720,4,4,60,35
7721,4,4,68,22
7722,4,4,79,35
7723,4,4,121,22
7724,4,4,23,34
7725,4,4,42,18
7726,4,4,115,100
7727,4,4,52,41
7728,4,4,122,18
7729,4,4,1,36
7730,4,4,72,65
7731,4,4,109,50
7732,4,4,24,28
7733,4,4,81,23
7734,4,4,90,41
7735,4,4,112,7
7736,4,4,43,52
7737,4,4,84,15
7738,4,4,47,60
7739,4,4,77,24
7740,4,4,101,25
7741,4,4,83,38
7742,4,4,113,35
7743,4,4,120,26
7744,4,4,70,27
7745,4,4,69,27
7746,4,4,66,35
7747,4,4,114,78
7748,4,4,76,6
7749,4,4,63,16
7750,4,4,45,23
7751,4,4,106,48
7752,4,4,10,36
7753,4,4,78,8
7754,4,4,6,53
7755,4,4,5,17
7756,4,4,94,15
7757,4,4,40,56
7758,4,4,34,66
7759,4,4,32,37
7760,4,4,50,18
7761,4,4,25,22
7762,4,4,100,10
7763,4,4,18,54
7764,4,4,20,19
7765,4,4,111,24
7766,4,4,107,25
7767,4,4,30,38
7768,4,4,49,31
7769,4,4,88,23
7770,4,4,26,14
7771,4,4,123,16
7772,4,4,9,52
7773,4,4,104,37
7774,4,4,33,21
7775,4,4,62,26
7776,4,4,22,0
7777,4,5,44,48
7778,4,5,103,32
7779,4,5,28,21
7780,4,5,105,36
7781,4,5,13,24
7782,4,5,71,28
7783,4,5,7,15
7784,4,5,46,41
7785,4,5,48,30
7786,4,5,19,13
7787,4,5,41,29
7788,4,5,14,37
7789,4,5,67,32
7790,4,5,17,9
7791,4,5,61,19
7792,4,5,102,28
7793,4,5,110,37
7794,4,5,108,29
7795,4,5,75,66
7796,4,5,73,39
7797,4,5,60,18
7798,4,5,68,12
7799,4,5,79,18
7800,4,5,121,20
7801,4,5,23,43
7802,4,5,42,25
7803,4,5,115,42
7804,4,5,52,45
7805,4,5,122,18
7806,4,5,1,25
7807,4,5,72,29
7808,4,5,109,27
7809,4,5,24,24
7810,4,5,81,29
7811,4,5,90,32
7812,4,5,112,8
7813,4,5,43,40
7814,4,5,84,13
7815,4,5,47,33
7816,4,5,77,30
7817,4,5,101,15
7818,4,5,83,28
7819,4,5,113,39
7820,4,5,120,31
7821,4,5,70,34
7822,4,5,69,20
7823,4,5,66,23
7824,4,5,114,47
7825,4,5,76,6
7826,4,5,63,18
7827,4,5,45,27
7828,4,5,106,19
7829,4,5,10,19
7830,4,5,78,14
7831,4,5,6,25
7832,4,5,5,9
7833,4,5,94,13
7834,4,5,40,40
7835,4,5,34,31
7836,4,5,32,21
7837,4,5,50,18
7838,4,5,25,27
7839,4,5,100,9
7840,4,5,18,28
7841,4,5,20,8
7842,4,5,111,7
7843,4,5,107,21
7844,4,5,30,20
7845,4,5,49,11
7846,4,5,88,7
7847,4,5,26,11
7848,4,5,123,9
7849,4,5,9,21
7850,4,5,104,29
7851,4,5,33,21
7852,4,5,62,25
7853,4,5,22,0
7854,4,6,44,48
7855,4,6,103,64
7856,4,6,28,21
7857,4,6,105,41
7858,4,6,13,25
7859,4,6,71,36
7860,4,6,7,15
7861,4,6,46,42
7862,4,6,48,51
7863,4,6,19,17
7864,4,6,41,39
7865,4,6,14,29
7866,4,6,67,56
7867,4,6,17,7
7868,4,6,61,33
7869,4,6,102,30
7870,4,6,110,33
7871,4,6,108,33
7872,4,6,75,97
7873,4,6,73,59
7874,4,6,60,31
7875,4,6,68,19
7876,4,6,79,40
7877,4,6,121,34
7878,4,6,23,33
7879,4,6,42,39
7880,4,6,115,59
7881,4,6,52,47
7882,4,6,122,17
7883,4,6,1,22
7884,4,6,72,22
7885,4,6,109,21
7886,4,6,24,17
7887,4,6,81,38
7888,4,6,90,24
7889,4,6,112,18
7890,4,6,43,77
7891,4,6,84,9
7892,4,6,47,49
7893,4,6,77,49
7894,4,6,101,19
7895,4,6,83,35
7896,4,6,113,60
7897,4,6,120,52
7898,4,6,70,41
7899,4,6,69,33
7900,4,6,66,20
7901,4,6,114,35
7902,4,6,76,11
7903,4,6,63,22
7904,4,6,45,30
7905,4,6,106,43
7906,4,6,10,12
7907,4,6,78,14
7908,4,6,6,11
7909,4,6,5,10
7910,4,6,94,21
7911,4,6,40,51
7912,4,6,34,25
7913,4,6,32,30
7914,4,6,50,20
7915,4,6,25,33
7916,4,6,100,9
7917,4,6,18,19
7918,4,6,20,10
7919,4,6,111,11
7920,4,6,107,29
7921,4,6,30,29
7922,4,6,49,27
7923,4,6,88,23
7924,4,6,26,12
7925,4,6,123,8
7926,4,6,9,23
7927,4,6,104,38
7928,4,6,33,29
7929,4,6,62,19
7930,4,6,22,0
7931,4,7,44,64
7932,4,7,103,89
7933,4,7,28,30
7934,4,7,105,73
7935,4,7,13,51
7936,4,7,71,52
7937,4,7,7,19
7938,4,7,46,60
7939,4,7,48,50
7940,4,7,19,45
7941,4,7,41,55
7942,4,7,14,67
7943,4,7,67,71
7944,4,7,17,18
7945,4,7,61,32
7946,4,7,102,49
7947,4,7,110,44
7948,4,7,108,54
7949,4,7,75,139
7950,4,7,73,74
7951,4,7,60,39
7952,4,7,68,45
7953,4,7,79,53
7954,4,7,121,44
7955,4,7,23,53
7956,4,7,42,55
7957,4,7,115,66
7958,4,7,52,62
7959,4,7,122,49
7960,4,7,1,31
7961,4,7,72,49
7962,4,7,109,59
7963,4,7,24,28
7964,4,7,81,54
7965,4,7,90,47
7966,4,7,112,20
7967,4,7,43,92
7968,4,7,84,28
7969,4,7,47,78
7970,4,7,77,57
7971,4,7,101,46
7972,4,7,83,56
7973,4,7,113,74
7974,4,7,120,74
7975,4,7,70,72
7976,4,7,69,53
7977,4,7,66,38
7978,4,7,114,57
7979,4,7,76,23
7980,4,7,63,30
7981,4,7,45,62
7982,4,7,106,51
7983,4,7,10,18
7984,4,7,78,24
7985,4,7,6,24
7986,4,7,5,26
7987,4,7,94,28
7988,4,7,40,63
7989,4,7,34,28
7990,4,7,32,51
7991,4,7,50,36
7992,4,7,25,68
7993,4,7,100,19
7994,4,7,18,31
7995,4,7,20,22
7996,4,7,111,26
7997,4,7,107,28
7998,4,7,30,43
7999,4,7,49,68
8000,4,7,88,35
8001,4,7,26,28
8002,4,7,123,19
8003,4,7,9,28
8004,4,7,104,67
8005,4,7,33,32
8006,4,7,62,42
8007,4,7,22,2
8008,4,8,44,108
8009,4,8,103,84
8010,4,8,28,59
8011,4,8,105,96
8012,4,8,13,84
8013,4,8,71,89
8014,4,8,7,40
8015,4,8,46,97
8016,4,8,48,95
8017,4,8,19,91
8018,4,8,41,102
8019,4,8,14,110
8020,4,8,67,113
8021,4,8,17,36
8022,4,8,61,73
8023,4,8,102,80
8024,4,8,110,56
8025,4,8,108,79
8026,4,8,75,175
8027,4,8,73,102
8028,4,8,60,82
8029,4,8,68,47
8030,4,8,79,76
8031,4,8,121,77
8032,4,8,23,50
8033,4,8,42,110
8034,4,8,115,75
8035,4,8,52,96
8036,4,8,122,75
8037,4,8,1,73
8038,4,8,72,63
8039,4,8,109,90
8040,4,8,24,64
8041,4,8,81,77
8042,4,8,90,89
8043,4,8,112,31
8044,4,8,43,134
8045,4,8,84,58
8046,4,8,47,113
8047,4,8,77,87
8048,4,8,101,56
8049,4,8,83,70
8050,4,8,113,115
8051,4,8,120,106
8052,4,8,70,71
8053,4,8,69,59
8054,4,8,66,67
8055,4,8,114,108
8056,4,8,76,38
8057,4,8,63,48
